CAR No,mileage,engine,max_power,seats,year,km_driven,fuel,seller_type,transmission,owner,Loan_Amount
161163,19.7 kmpl,796 CC,46.3 bhp,5,2005,40000,Petrol,Individual,Manual,Second Owner,80000
161164,23.2 kmpl,1248 CC,73.94 bhp,5,2015,90000,Diesel,Individual,Manual,First Owner,350000
161165,23.65 kmpl,1248 CC,88.5 bhp,5,2017,100000,Diesel,Individual,Manual,First Owner,600000
161166,13.5 kmpl,2179 CC,115 bhp,5,2011,120000,Diesel,Individual,Manual,Third Owner,350000
161167,24.3 kmpl,1248 CC,88.5 bhp,5,2018,50000,Diesel,Individual,Manual,First Owner,770000
161168,21.03 kmpl,1461 CC,65 bhp,5,2012,25000,Diesel,Individual,Manual,First Owner,350000
161169,12.05 kmpl,2179 CC,120 bhp,8,2011,50000,Diesel,Individual,Manual,Third Owner,600000
161170,18.49 kmpl,1493 CC,100 bhp,7,2016,71000,Diesel,Individual,Manual,First Owner,750000
161171,20.51 kmpl,998 CC,67.04 bhp,5,2016,40000,Petrol,Individual,Manual,First Owner,340000
161172,18.6 kmpl,1197 CC,81.86 bhp,5,2018,31800,Petrol,Individual,Manual,First Owner,650000
161173,20.36 kmpl,1197 CC,78.9 bhp,5,2014,65000,Petrol,Individual,Manual,First Owner,300000
161174,22.74 kmpl,796 CC,47.3 bhp,5,2014,15000,Petrol,Individual,Manual,Second Owner,204999
161175,20.8 kmpl,1461 CC,65 bhp,5,2012,70000,Diesel,Individual,Manual,Second Owner,254999
161176,18.16 kmpl,1196 CC,86.8 bhp,5,2017,5000,Petrol,Individual,Manual,First Owner,650000
161177,21.1 kmpl,814 CC,55.2 bhp,5,2017,50000,Petrol,Individual,Manual,Second Owner,280000
161178,17.2 kmpl,1396 CC,53.5 bhp,5,2011,80000,Diesel,Individual,Manual,First Owner,100000
161179,13.58 kmpl,2499 CC,72.4 bhp,9,2014,70000,Diesel,Individual,Manual,Second Owner,575000
161180,24.3 kmpl,1248 CC,88.5 bhp,5,2017,40000,Diesel,Individual,Manual,First Owner,780000
161181,15.96 kmpl,2523 CC,62.1 bhp,7,2013,157000,Diesel,Individual,Manual,First Owner,467000
161182,15.4 kmpl,2179 CC,120 bhp,7,2015,90000,Diesel,Individual,Manual,First Owner,1050000
161183,19.81 kmpl,1086 CC,68.05 bhp,5,2011,80000,Petrol,Individual,Manual,Second Owner,225000
161184,,,,,2004,90000,Petrol,Individual,Manual,Third Owner,90000
161185,,,,,2004,80000,Petrol,Individual,Automatic,Third Owner,80000
161186,,,,,2012,80000,Diesel,Individual,Manual,First Owner,300000
161187,21.03 kmpl,1461 CC,65 bhp,5,2012,70000,Diesel,Individual,Manual,Second Owner,260000
161188,16.0 kmpl,995 CC,63 bhp,5,2009,50000,Petrol,Individual,Manual,Second Owner,90000
161189,20.0 kmpl,1399 CC,68 bhp,5,2012,60000,Diesel,Individual,Manual,First Owner,280000
161190,20.8 kmpl,1461 CC,65 bhp,5,2014,106000,Diesel,Individual,Manual,Second Owner,350000
161191,10.5 kmpl,2179 CC,120 bhp,7,2006,80000,Diesel,Individual,Manual,Second Owner,229999
161192,15.96 kmpl,2523 CC,63 bhp,9,2016,80000,Diesel,Individual,Manual,Second Owner,550000
161193,12.99 kmpl,2494 CC,100 bhp,8,2013,110000,Diesel,Individual,Manual,Second Owner,850000
161194,13.6 kmpl,2523 CC,63 bhp,7,2011,120000,Diesel,Individual,Manual,Third Owner,370000
161195,20.92 kmpl,998 CC,67.1 bhp,5,2013,27000,Petrol,Individual,Manual,First Owner,250000
161196,19.7 kmpl,796 CC,46.3 bhp,5,2007,70000,Petrol,Individual,Manual,Second Owner,95000
161197,18.9 kmpl,1061 CC,67 bhp,5,2010,70000,Petrol,Individual,Manual,Second Owner,180000
161198,17.45 kmpl,1493 CC,100 bhp,7,2016,50000,Diesel,Individual,Automatic,First Owner,650000
161199,25.4 kmpl,1186 CC,73.97 bhp,5,2018,60000,Diesel,Individual,Manual,First Owner,530000
161200,22.0 kmpl,1197 CC,81.80 bhp,5,2017,15000,Petrol,Individual,Manual,First Owner,610000
161201,,,,,2011,40000,Petrol,Individual,Manual,First Owner,200000
161202,14.0 kmpl,2498 CC,112 bhp,8,2010,135000,Diesel,Individual,Manual,First Owner,265000
161203,23.84 kmpl,1199 CC,84 bhp,5,2018,26300,Petrol,Individual,Manual,First Owner,560000
161204,15.96 kmpl,2523 CC,62.1 bhp,7,2014,120000,Diesel,Individual,Manual,First Owner,430000
161205,28.4 kmpl,1248 CC,74.02 bhp,5,2017,35000,Diesel,Individual,Manual,First Owner,711000
161206,20.85 kmpl,1197 CC,83.14 bhp,5,2015,30000,Petrol,Individual,Manual,First Owner,511000
161207,15.96 kmpl,2523 CC,62.1 bhp,7,2012,165000,Diesel,Individual,Manual,First Owner,450000
161208,17.57 kmpl,1193 CC,88.7 bhp,5,2015,50000,Petrol,Individual,Manual,First Owner,325000
161209,21.64 kmpl,1461 CC,84.8 bhp,5,2013,120000,Diesel,Individual,Manual,First Owner,434999
161210,20.0 kmpl,1399 CC,68 bhp,5,2010,100000,Diesel,Individual,Manual,Second Owner,210000
161211,,,,,2009,90000,Petrol,Individual,Manual,Third Owner,140000
161212,15.0 kmpl,1586 CC,104.68 bhp,5,2007,120000,Petrol,Individual,Manual,Second Owner,160000
161213,17.5 kmpl,1373 CC,91.1 bhp,7,2017,70000,Petrol,Individual,Manual,Second Owner,650000
161214,,,,,2008,90000,Diesel,Individual,Manual,Second Owner,250000
161215,18.6 kmpl,1197 CC,81.83 bhp,5,2014,72000,Petrol,Individual,Manual,First Owner,320000
161216,23.01 kmpl,999 CC,67 bhp,5,2017,50000,Petrol,Individual,Manual,First Owner,290000
161217,,,,,1996,5000,Diesel,Individual,Manual,Second Owner,163000
161218,25.4 kmpl,624 CC,37.48 bhp,4,2013,30000,Petrol,Individual,Manual,First Owner,80000
161219,14.1 kmpl,2179 CC,147.94 bhp,7,2017,20000,Diesel,Individual,Manual,First Owner,1100000
161220,26.21 kmpl,1248 CC,88.5 bhp,5,2015,110000,Diesel,Individual,Manual,First Owner,600000
161221,25.17 kmpl,799 CC,53.3 bhp,5,2017,25000,Petrol,Individual,Manual,First Owner,340000
161222,12.99 kmpl,2494 CC,100.6 bhp,7,2014,120000,Diesel,Individual,Manual,First Owner,750000
161223,19.7 kmpl,796 CC,46.3 bhp,5,2006,40000,Petrol,Individual,Manual,First Owner,100000
161224,25.17 kmpl,799 CC,53.3 bhp,5,2019,10000,Petrol,Individual,Manual,First Owner,395000
161225,18.9 kmpl,1061 CC,67 bhp,5,2010,65000,Petrol,Individual,Manual,First Owner,200000
161226,21.94 km/kg,1196 CC,61.7 bhp,5,2019,10000,CNG,Individual,Manual,First Owner,450000
161227,13.87 kmpl,1390 CC,75 bhp,5,2012,110000,Petrol,Individual,Manual,Second Owner,180000
161228,13.6 kmpl,2523 CC,63 bhp,7,2008,120000,Diesel,Individual,Manual,Second Owner,190000
161229,15.37 kmpl,1196 CC,73 bhp,5,2015,72000,Petrol,Individual,Manual,First Owner,310000
161230,23.2 kmpl,1248 CC,73.94 bhp,5,2014,89100,Diesel,Individual,Manual,Second Owner,351000
161231,17.4 kmpl,1599 CC,104 bhp,5,2006,94000,Petrol,Individual,Manual,Second Owner,190000
161232,21.1 kmpl,814 CC,55.2 bhp,5,2015,120000,Petrol,Individual,Manual,Second Owner,225000
161233,16.2 kmpl,995 CC,62.1 bhp,5,2012,110000,Petrol,Individual,Manual,First Owner,130000
161234,28.09 kmpl,1248 CC,88.50 bhp,5,2018,50000,Diesel,Individual,Manual,First Owner,1000000
161235,16.8 kmpl,1405 CC,62 bhp,5,2004,90000,Diesel,Individual,Manual,Third Owner,55000
161236,18.2 kmpl,1199 CC,82.4 bhp,5,2014,23000,Petrol,Individual,Manual,First Owner,330000
161237,16.8 kmpl,796 CC,34.2 bhp,5,2013,50000,Petrol,Individual,Manual,First Owner,166000
161238,14.0 kmpl,2498 CC,112 bhp,8,2013,300000,Diesel,Individual,Manual,First Owner,200000
161239,20.92 kmpl,998 CC,67.1 bhp,5,2011,50000,Petrol,Individual,Manual,Third Owner,140000
161240,21.94 km/kg,1196 CC,61.7 bhp,5,2017,140000,CNG,Individual,Manual,First Owner,370000
161241,17.4 kmpl,1197 CC,81.86 bhp,5,2019,16000,Petrol,Individual,Automatic,First Owner,720000
161242,21.19 kmpl,1396 CC,88.73 bhp,5,2015,126000,Diesel,Individual,Manual,First Owner,500000
161243,20.14 kmpl,1197 CC,81.86 bhp,5,2019,15000,Petrol,Individual,Manual,First Owner,570000
161244,17.5 kmpl,1197 CC,85.8 bhp,5,2010,200000,Petrol,Individual,Manual,First Owner,210000
161245,19.7 kmpl,796 CC,46.3 bhp,5,2009,120000,Petrol,Individual,Manual,First Owner,120000
161246,15.3 kmpl,1341 CC,83 bhp,5,2005,120000,Petrol,Individual,Manual,Fourth & Above Owner,95000
161247,16.95 kmpl,1197 CC,78.9 bhp,5,2010,110000,Petrol,Individual,Automatic,Third Owner,196000
161248,15.37 kmpl,1196 CC,73 bhp,5,2016,38000,Petrol,Individual,Manual,First Owner,392000
161249,15.0 kmpl,1368 CC,90 bhp,5,2010,104000,Petrol,Individual,Manual,First Owner,150000
161250,15.4 kmpl,1497 CC,117.3 bhp,7,2017,120000,Petrol,Individual,Manual,First Owner,595000
161251,24.3 kmpl,1248 CC,88.5 bhp,5,2018,35000,Diesel,Individual,Automatic,First Owner,833000
161252,22.9 kmpl,1248 CC,74 bhp,5,2011,210000,Diesel,Individual,Manual,First Owner,280000
161253,16.1 kmpl,796 CC,37 bhp,4,2003,35000,Petrol,Individual,Manual,Second Owner,35000
161254,21.1 kmpl,1248 CC,73.9 bhp,5,2009,85000,Diesel,Individual,Manual,Third Owner,180000
161255,18.9 kmpl,998 CC,67.1 bhp,5,2012,80000,Petrol,Individual,Manual,First Owner,225000
161256,14.84 kmpl,2143 CC,170 bhp,5,2012,50000,Diesel,Individual,Automatic,First Owner,1400000
161257,23.0 kmpl,1396 CC,90 bhp,5,2009,40000,Diesel,Individual,Manual,First Owner,340000
161258,12.8 kmpl,2494 CC,102 bhp,8,2010,216000,Diesel,Individual,Manual,First Owner,550000
161259,20.51 kmpl,998 CC,67.04 bhp,5,2017,65000,Petrol,Individual,Manual,Second Owner,400000
161260,15.3 kmpl,1341 CC,83 bhp,5,2006,100000,Petrol,Individual,Manual,Third Owner,90000
161261,28.09 kmpl,1248 CC,88.5 bhp,5,2015,84000,Diesel,Individual,Manual,First Owner,650000
161262,12.99 kmpl,2494 CC,100 bhp,7,2012,210000,Diesel,Individual,Manual,First Owner,730000
161263,15.26 kmpl,1150 CC,74.9 bhp,5,2010,60000,Petrol,Individual,Manual,First Owner,125000
161264,15.3 kmpl,1341 CC,83 bhp,5,2006,100000,Petrol,Individual,Manual,Fourth & Above Owner,81000
161265,16.1 kmpl,1298 CC,88.2 bhp,5,2007,78000,Petrol,Individual,Manual,Second Owner,170000
161266,13.0 kmpl,1493 CC,100 bhp,5,2002,161000,Petrol,Individual,Manual,Fourth & Above Owner,81000
161267,19.7 kmpl,796 CC,46.3 bhp,5,2005,70000,Petrol,Individual,Manual,Third Owner,95000
161268,26.0 kmpl,624 CC,35 bhp,4,2010,50000,Petrol,Individual,Manual,Third Owner,55000
161269,19.98 kmpl,1461 CC,108.5 bhp,8,2017,65000,Diesel,Individual,Manual,First Owner,880000
161270,25.17 kmpl,799 CC,53.3 bhp,5,2015,50000,Petrol,Individual,Manual,First Owner,200000
161271,20.52 kmpl,1197 CC,81.80 bhp,5,2019,25000,Petrol,Individual,Manual,First Owner,480000
161272,15.96 kmpl,2523 CC,62.1 bhp,9,2013,100000,Diesel,Individual,Manual,First Owner,480000
161273,18.6 kmpl,1197 CC,81.83 bhp,5,2018,6000,Petrol,Individual,Manual,First Owner,700000
161274,21.9 kmpl,1498 CC,98.6 bhp,7,2016,72113,Diesel,Individual,Manual,First Owner,850000
161275,23.57 kmpl,1396 CC,70 bhp,5,2012,40000,Diesel,Individual,Manual,First Owner,300000
161276,18.6 kmpl,1197 CC,81.83 bhp,5,2017,8000,Petrol,Individual,Manual,First Owner,650000
161277,21.1 kmpl,1197 CC,85.80 bhp,5,2010,20000,Petrol,Individual,Manual,First Owner,220000
161278,19.09 kmpl,1405 CC,69.01 bhp,5,2014,45000,Diesel,Individual,Manual,First Owner,300000
161279,23.4 kmpl,1248 CC,74 bhp,5,2014,80000,Diesel,Individual,Manual,First Owner,450000
161280,25.2 kmpl,1248 CC,74 bhp,5,2014,90000,Diesel,Individual,Manual,First Owner,400000
161281,25.1 kmpl,1248 CC,88.5 bhp,5,2018,25000,Diesel,Individual,Manual,First Owner,1030000
161282,18.8 kmpl,1248 CC,90 bhp,5,2010,100000,Diesel,Individual,Manual,Second Owner,190000
161283,16.6 kmpl,1388 CC,68 bhp,5,2006,60000,Petrol,Individual,Manual,Second Owner,140000
161284,21.19 kmpl,1396 CC,88.76 bhp,5,2018,30000,Diesel,Individual,Manual,First Owner,800000
161285,10.5 kmpl,2609 CC,120 bhp,7,2007,120000,Diesel,Individual,Manual,Third Owner,229999
161286,13.93 kmpl,2179 CC,138.03 bhp,7,2011,80000,Diesel,Individual,Manual,Second Owner,300000
161287,20.54 kmpl,1598 CC,103.6 bhp,5,2011,69000,Diesel,Individual,Manual,Second Owner,375000
161288,18.6 kmpl,1199 CC,79.4 bhp,5,2010,75000,Petrol,Individual,Manual,First Owner,140000
161289,19.7 kmpl,796 CC,46.3 bhp,5,2004,113000,Petrol,Individual,Manual,Second Owner,60000
161290,24.4 kmpl,1120 CC,71.01 bhp,5,2014,90000,Diesel,Individual,Manual,Second Owner,420000
161291,23.08 kmpl,1461 CC,63.12 bhp,5,2012,100000,Diesel,Individual,Manual,Third Owner,300000
161292,22.3 kmpl,1248 CC,74 bhp,5,2012,110000,Diesel,Individual,Manual,First Owner,150000
161293,22.77 kmpl,1498 CC,98.59 bhp,5,2015,90000,Diesel,Individual,Manual,First Owner,600000
161294,20.0 kmpl,1399 CC,68 bhp,5,2011,100000,Diesel,Individual,Manual,Second Owner,204999
161295,25.4 kmpl,1186 CC,73.97 bhp,5,2017,50000,Diesel,Individual,Manual,First Owner,625000
161296,20.5 kmpl,1248 CC,91.7 bhp,5,2011,200000,Diesel,Individual,Manual,First Owner,280000
161297,13.01 kmpl,2199 CC,194.3 bhp,7,2014,146000,Diesel,Individual,Automatic,Second Owner,1050000
161298,12.9 kmpl,1598 CC,102.5 bhp,5,2009,80000,Petrol,Individual,Manual,Second Owner,250000
161299,11.57 kmpl,2179 CC,138.1 bhp,7,2010,96443,Diesel,Individual,Manual,Second Owner,535000
161300,11.7 kmpl,2354 CC,177.6 bhp,5,2009,100000,Petrol,Individual,Automatic,Second Owner,400000
161301,21.21 kmpl,1197 CC,81.80 bhp,5,2019,10000,Petrol,Individual,Automatic,First Owner,610000
161302,23.4 kmpl,1248 CC,74 bhp,5,2014,110000,Diesel,Individual,Manual,First Owner,509999
161303,14.0 kmpl,2179 CC,138.1 bhp,7,2014,86000,Diesel,Individual,Manual,Second Owner,521000
161304,23.4 kmpl,1248 CC,74 bhp,5,2014,100000,Diesel,Individual,Manual,First Owner,511000
161305,22.54 kmpl,1396 CC,88.73 bhp,5,2014,91000,Diesel,Individual,Manual,First Owner,451000
161306,20.36 kmpl,1197 CC,78.9 bhp,5,2009,100000,Petrol,Individual,Manual,First Owner,170000
161307,23.4 kmpl,1248 CC,74 bhp,5,2013,120000,Diesel,Individual,Manual,Second Owner,450000
161308,17.0 kmpl,1497 CC,118 bhp,5,2011,90000,Petrol,Individual,Manual,Second Owner,375000
161309,22.74 kmpl,796 CC,47.3 bhp,5,2016,60000,Petrol,Individual,Manual,Second Owner,305000
161310,25.17 kmpl,799 CC,53.3 bhp,5,2016,51500,Petrol,Individual,Manual,First Owner,315000
161311,22.1 kmpl,1248 CC,74 bhp,5,2016,60000,Diesel,Individual,Manual,Second Owner,250000
161312,20.0 kmpl,1399 CC,68 bhp,5,2012,104500,Diesel,Individual,Manual,Second Owner,200000
161313,23.0 kmpl,1498 CC,98.96 bhp,5,2018,30000,Diesel,Individual,Manual,First Owner,950000
161314,19.01 kmpl,1461 CC,108.45 bhp,5,2012,120000,Diesel,Individual,Manual,Third Owner,400000
161315,22.9 kmpl,1248 CC,74 bhp,5,2014,100000,Diesel,Individual,Manual,Second Owner,509999
161316,13.5 kmpl,1799 CC,130 bhp,5,2008,90000,Petrol,Individual,Manual,Third Owner,375000
161317,18.9 kmpl,998 CC,67.1 bhp,5,2005,150000,Petrol,Individual,Manual,Third Owner,150000
161318,18.9 kmpl,998 CC,67.1 bhp,5,2006,60000,Petrol,Individual,Automatic,First Owner,75000
161319,17.43 kmpl,1396 CC,105.5 bhp,5,2015,50000,Petrol,Individual,Manual,Second Owner,465000
161320,24.0 kmpl,1186 CC,73.97 bhp,5,2019,10000,Diesel,Individual,Manual,First Owner,700000
161321,15.4 kmpl,1997 CC,120 bhp,7,2015,120000,Diesel,Individual,Manual,Third Owner,950000
161322,18.6 kmpl,1197 CC,81.83 bhp,5,2017,40000,Petrol,Individual,Manual,First Owner,610000
161323,,,,,2004,120000,Petrol,Individual,Manual,Second Owner,60000
161324,22.74 kmpl,796 CC,47.3 bhp,5,2014,50000,Petrol,Individual,Manual,First Owner,235000
161325,15.37 kmpl,1196 CC,73 bhp,5,2017,90000,Petrol,Individual,Manual,First Owner,330000
161326,20.45 kmpl,1461 CC,83.8 bhp,5,2014,90000,Diesel,Individual,Manual,First Owner,472000
161327,21.21 kmpl,1197 CC,81.80 bhp,5,2019,10000,Petrol,Individual,Manual,First Owner,585000
161328,23.5 kmpl,909 CC,45 bhp,8,2018,10000,Diesel,Individual,Manual,First Owner,500000
161329,23.95 kmpl,998 CC,67.05 bhp,5,2019,27000,Petrol,Individual,Manual,First Owner,360000
161330,26.59 kmpl,1248 CC,74 bhp,5,2016,70000,Diesel,Individual,Manual,First Owner,649000
161331,16.8 kmpl,796 CC,34.2 bhp,5,2017,50000,Petrol,Individual,Manual,First Owner,200000
161332,,,,,2008,60000,Petrol,Individual,Manual,First Owner,240000
161333,24.0 kmpl,1120 CC,70 bhp,5,2014,110000,Diesel,Individual,Manual,First Owner,400000
161334,27.62 kmpl,793 CC,47 bhp,5,2015,100000,Diesel,Individual,Manual,Second Owner,250000
161335,17.3 kmpl,1497 CC,121 bhp,7,2018,50000,Diesel,Individual,Manual,First Owner,1200000
161336,17.8 kmpl,1248 CC,75 bhp,5,2009,105000,Diesel,Individual,Manual,Second Owner,250000
161337,12.99 kmpl,2494 CC,100.6 bhp,8,2013,110000,Diesel,Individual,Manual,First Owner,819999
161338,15.1 kmpl,2179 CC,140 bhp,7,2014,60000,Diesel,Individual,Manual,Second Owner,800000
161339,18.88 kmpl,999 CC,123.37 bhp,5,2013,49102,Petrol,Dealer,Manual,Second Owner,429000
161340,17.92 kmpl,1086 CC,62.1 bhp,5,2010,60000,Petrol,Individual,Manual,Third Owner,150000
161341,,,,,2010,120000,Diesel,Individual,Manual,Second Owner,315000
161342,25.44 kmpl,936 CC,57.6 bhp,5,2012,90000,Diesel,Individual,Manual,First Owner,170000
161343,19.4 kmpl,1198 CC,86.8 bhp,5,2014,33033,Petrol,Dealer,Manual,First Owner,335000
161344,18.9 kmpl,1197 CC,82 bhp,5,2015,63063,Petrol,Dealer,Automatic,First Owner,465000
161345,19.01 kmpl,1461 CC,108.45 bhp,5,2013,81000,Diesel,Individual,Manual,Second Owner,360000
161346,25.4 kmpl,1186 CC,73.97 bhp,5,2018,80000,Diesel,Individual,Manual,First Owner,570000
161347,19.01 kmpl,1461 CC,108.45 bhp,5,2012,105000,Diesel,Individual,Manual,Second Owner,350000
161348,,,,,2017,60000,Diesel,Individual,Manual,First Owner,600000
161349,17.5 kmpl,1373 CC,91.1 bhp,7,2017,227000,Petrol,Individual,Manual,First Owner,700000
161350,19.01 kmpl,1461 CC,108.45 bhp,5,2012,100000,Diesel,Individual,Manual,Second Owner,375000
161351,21.94 km/kg,1196 CC,61.7 bhp,5,2019,60000,CNG,Individual,Manual,First Owner,450000
161352,21.9 kmpl,1396 CC,88.76 bhp,5,2013,70000,Diesel,Individual,Manual,Third Owner,325000
161353,20.54 kmpl,1598 CC,103.6 bhp,5,2011,120000,Diesel,Individual,Manual,Third Owner,260000
161354,19.7 kmpl,796 CC,46.3 bhp,5,2009,80000,Petrol,Individual,Manual,Third Owner,130000
161355,11.57 kmpl,2179 CC,138.1 bhp,7,2008,120000,Diesel,Individual,Manual,Fourth & Above Owner,150000
161356,17.92 kmpl,1086 CC,62.1 bhp,5,2014,40000,Petrol,Individual,Manual,First Owner,220000
161357,20.36 kmpl,1197 CC,78.9 bhp,5,2014,53000,Petrol,Individual,Manual,First Owner,275000
161358,25.2 kmpl,1248 CC,74 bhp,5,2017,60000,Diesel,Individual,Manual,First Owner,455000
161359,18.6 kmpl,1197 CC,81.83 bhp,5,2017,30000,Petrol,Individual,Manual,First Owner,570000
161360,20.54 kmpl,1598 CC,103.6 bhp,5,2013,100000,Diesel,Individual,Manual,Third Owner,330000
161361,13.68 kmpl,2393 CC,147.8 bhp,7,2018,70000,Diesel,Individual,Manual,First Owner,1576000
161362,20.77 kmpl,1248 CC,88.8 bhp,7,2012,98000,Diesel,Individual,Manual,Fourth & Above Owner,450000
161363,21.1 kmpl,814 CC,55.2 bhp,5,2014,60000,Petrol,Individual,Manual,First Owner,250000
161364,20.36 kmpl,1197 CC,78.9 bhp,5,2010,80000,Petrol,Individual,Manual,Third Owner,165000
161365,11.18 kmpl,2696 CC,184 bhp,7,2013,117000,Diesel,Dealer,Automatic,First Owner,800000
161366,18.7 kmpl,1199 CC,88.7 bhp,5,2018,8576,Petrol,Dealer,Manual,First Owner,680000
161367,20.3 kmpl,1199 CC,84 bhp,5,2017,19723,Petrol,Dealer,Automatic,First Owner,525000
161368,16.8 kmpl,1497 CC,116.3 bhp,5,2016,21446,Petrol,Dealer,Manual,First Owner,825000
161369,25.1 kmpl,1248 CC,88.5 bhp,5,2017,52289,Diesel,Dealer,Manual,First Owner,750000
161370,15.4 kmpl,2179 CC,120 bhp,7,2017,52236,Diesel,Dealer,Manual,First Owner,950000
161371,15.4 kmpl,2179 CC,120 bhp,7,2017,54470,Diesel,Dealer,Manual,First Owner,950000
161372,21.9 kmpl,1396 CC,90 bhp,5,2017,25471,Diesel,Dealer,Manual,First Owner,675000
161373,23.84 kmpl,1199 CC,84.48 bhp,5,2019,33928,Petrol,Dealer,Manual,First Owner,490000
161374,18.49 kmpl,1493 CC,100 bhp,7,2018,59736,Diesel,Dealer,Manual,First Owner,775000
161375,17.0 kmpl,1497 CC,118 bhp,5,2009,54290,Petrol,Dealer,Manual,First Owner,350000
161376,19.4 kmpl,1198 CC,86.8 bhp,5,2016,2118,Petrol,Dealer,Manual,First Owner,475000
161377,15.4 kmpl,2179 CC,120 bhp,7,2017,61379,Diesel,Dealer,Manual,First Owner,950000
161378,17.4 kmpl,1497 CC,117.3 bhp,5,2010,58544,Petrol,Dealer,Manual,Second Owner,350000
161379,21.79 kmpl,998 CC,67.05 bhp,5,2016,74381,Petrol,Dealer,Manual,First Owner,400000
161380,16.1 kmpl,796 CC,37 bhp,4,2001,35000,Petrol,Individual,Manual,Third Owner,75000
161381,22.7 kmpl,1498 CC,89.84 bhp,5,2017,63982,Diesel,Dealer,Manual,First Owner,850000
161382,18.9 kmpl,998 CC,67.1 bhp,5,2008,65000,Petrol,Dealer,Manual,Second Owner,175000
161383,15.96 kmpl,2523 CC,62.1 bhp,7,2014,74000,Diesel,Dealer,Manual,First Owner,570000
161384,19.01 kmpl,1461 CC,108.45 bhp,5,2013,56429,Diesel,Dealer,Manual,Second Owner,525000
161385,20.36 kmpl,1197 CC,78.9 bhp,5,2012,56000,Petrol,Individual,Manual,First Owner,270000
161386,20.3 kmpl,1086 CC,68.07 bhp,5,2019,19500,Petrol,Dealer,Manual,First Owner,434999
161387,18.6 kmpl,1197 CC,81.83 bhp,5,2015,30000,Petrol,Dealer,Manual,First Owner,495000
161388,22.54 kmpl,1396 CC,88.73 bhp,5,2016,53000,Diesel,Dealer,Manual,First Owner,575000
161389,20.14 kmpl,1197 CC,81.86 bhp,5,2017,5000,Petrol,Individual,Manual,First Owner,600000
161390,17.01 kmpl,1591 CC,121.4 bhp,5,2015,25000,Petrol,Individual,Manual,First Owner,700000
161391,26.0 kmpl,1498 CC,98.6 bhp,5,2014,72000,Diesel,Dealer,Manual,First Owner,560000
161392,,,,,2016,72000,Diesel,Dealer,Manual,First Owner,565000
161393,13.6 kmpl,2523 CC,63 bhp,7,2005,80000,Diesel,Individual,Manual,First Owner,250000
161394,15.0 kmpl,1598 CC,103.5 bhp,5,2013,29000,Petrol,Individual,Manual,Second Owner,409999
161395,19.87 kmpl,1461 CC,83.14 bhp,5,2016,56832,Diesel,Dealer,Manual,First Owner,495000
161396,18.6 kmpl,1197 CC,81.86 bhp,5,2014,30528,Petrol,Dealer,Manual,First Owner,470000
161397,24.7 kmpl,1498 CC,98.63 bhp,5,2013,65285,Diesel,Dealer,Manual,First Owner,350000
161398,13.68 kmpl,2393 CC,147.51 bhp,8,2020,20102,Diesel,Dealer,Manual,First Owner,1560000
161399,18.7 kmpl,1199 CC,88.7 bhp,5,2015,43000,Petrol,Dealer,Manual,First Owner,480000
161400,23.59 kmpl,1364 CC,67.04 bhp,5,2013,52380,Diesel,Dealer,Manual,First Owner,270000
161401,21.0 kmpl,1498 CC,74.96 bhp,7,2018,74250,Diesel,Dealer,Manual,First Owner,660000
161402,20.89 kmpl,1197 CC,81.80 bhp,5,2017,57247,Petrol,Dealer,Automatic,First Owner,490000
161403,24.3 kmpl,1248 CC,88.5 bhp,5,2017,52000,Diesel,Individual,Manual,First Owner,800000
161404,16.95 kmpl,1498 CC,97.7 bhp,5,2011,47000,Petrol,Individual,Manual,Second Owner,350000
161405,17.8 kmpl,1399 CC,68 bhp,5,2011,80000,Diesel,Individual,Manual,Third Owner,170000
161406,18.0 kmpl,1248 CC,75 bhp,5,2011,85000,Diesel,Individual,Manual,Second Owner,125000
161407,19.3 kmpl,1248 CC,73.9 bhp,5,2012,100000,Diesel,Individual,Manual,First Owner,400000
161408,16.95 kmpl,1498 CC,97.7 bhp,5,2011,110000,Petrol,Individual,Manual,First Owner,250000
161409,20.4 kmpl,1248 CC,91.7 bhp,5,2010,178000,Diesel,Individual,Manual,Second Owner,190000
161410,19.7 kmpl,796 CC,46.3 bhp,5,2010,120000,Petrol,Individual,Manual,Third Owner,125000
161411,16.3 kmpl,1956 CC,170 bhp,5,2017,70000,Diesel,Individual,Manual,First Owner,1950000
161412,12.8 kmpl,1968 CC,167.6 bhp,5,2011,120000,Diesel,Individual,Automatic,First Owner,1300000
161413,12.8 kmpl,2494 CC,102 bhp,8,2010,155000,Diesel,Individual,Manual,Third Owner,786000
161414,20.51 kmpl,998 CC,67.04 bhp,5,2015,30000,Petrol,Individual,Manual,First Owner,335000
161415,18.9 kmpl,1061 CC,67 bhp,5,2009,60000,Petrol,Individual,Manual,Third Owner,114999
161416,22.07 kmpl,1199 CC,73.9 bhp,5,2012,70000,Diesel,Individual,Manual,Fourth & Above Owner,229999
161417,22.54 kmpl,1396 CC,88.73 bhp,5,2017,40000,Diesel,Individual,Manual,First Owner,731000
161418,22.32 kmpl,1582 CC,126.32 bhp,5,2012,120000,Diesel,Individual,Manual,First Owner,395000
161419,26.59 kmpl,1248 CC,74 bhp,5,2015,120000,Diesel,Individual,Manual,First Owner,500000
161420,21.1 kmpl,814 CC,55.2 bhp,5,2014,50000,Petrol,Individual,Manual,Third Owner,220000
